stage,environment,algorithm_key,algorithm,commitment_horizon,comm_label,comm_model,comm_level,scenario_file,out_dir,run_id,expected_trials,command
clue_core,clue,dga,DGA,3,gilbert_elliot_pGG_0_5_pBB_0_5,gilbert_elliot,0.5,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_5_pBB_0_5,dga_gilbert_elliot_pGG_0_5_pBB_0_5,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_gilbert_elliot_pGG_0_5_pBB_0_5"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_5_pBB_0_5"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""gilbert_elliot"", ""--comm-level"", ""0.5""]"
clue_core,clue,dga,DGA,3,gilbert_elliot_pGG_0_6_pBB_0_4,gilbert_elliot,0.6,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_6_pBB_0_4,dga_gilbert_elliot_pGG_0_6_pBB_0_4,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_gilbert_elliot_pGG_0_6_pBB_0_4"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_6_pBB_0_4"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""gilbert_elliot"", ""--comm-level"", ""0.6""]"
clue_core,clue,dga,DGA,3,gilbert_elliot_pGG_0_7_pBB_0_3,gilbert_elliot,0.7,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_7_pBB_0_3,dga_gilbert_elliot_pGG_0_7_pBB_0_3,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_gilbert_elliot_pGG_0_7_pBB_0_3"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_7_pBB_0_3"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""gilbert_elliot"", ""--comm-level"", ""0.7""]"
clue_core,clue,dga,DGA,3,gilbert_elliot_pGG_0_8_pBB_0_2,gilbert_elliot,0.8,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_8_pBB_0_2,dga_gilbert_elliot_pGG_0_8_pBB_0_2,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_gilbert_elliot_pGG_0_8_pBB_0_2"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_8_pBB_0_2"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""gilbert_elliot"", ""--comm-level"", ""0.8""]"
clue_core,clue,dga,DGA,3,gilbert_elliot_pGG_0_9_pBB_0_1,gilbert_elliot,0.9,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_9_pBB_0_1,dga_gilbert_elliot_pGG_0_9_pBB_0_1,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_gilbert_elliot_pGG_0_9_pBB_0_1"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_9_pBB_0_1"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""gilbert_elliot"", ""--comm-level"", ""0.9""]"
clue_core,clue,dga,DGA,3,gilbert_elliot_pGG_0_95_pBB_0_05,gilbert_elliot,0.95,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_95_pBB_0_05,dga_gilbert_elliot_pGG_0_95_pBB_0_05,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_gilbert_elliot_pGG_0_95_pBB_0_05"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/gilbert_elliot_pGG_0_95_pBB_0_05"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""gilbert_elliot"", ""--comm-level"", ""0.95""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg32_58,rayleigh_style,-32.58,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg32_58,dga_rayleigh_style_sens_neg32_58,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg32_58"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg32_58"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-32.58""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg37_79,rayleigh_style,-37.79,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg37_79,dga_rayleigh_style_sens_neg37_79,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg37_79"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg37_79"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-37.79""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg42_16,rayleigh_style,-42.16,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg42_16,dga_rayleigh_style_sens_neg42_16,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg42_16"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg42_16"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-42.16""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg46_04,rayleigh_style,-46.04,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg46_04,dga_rayleigh_style_sens_neg46_04,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg46_04"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg46_04"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-46.04""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg49_17,rayleigh_style,-49.17,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg49_17,dga_rayleigh_style_sens_neg49_17,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg49_17"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg49_17"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-49.17""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg52_15,rayleigh_style,-52.15,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg52_15,dga_rayleigh_style_sens_neg52_15,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg52_15"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg52_15"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-52.15""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg56_04,rayleigh_style,-56.04,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg56_04,dga_rayleigh_style_sens_neg56_04,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg56_04"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg56_04"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-56.04""]"
clue_core,clue,dga,DGA,3,rayleigh_style_sens_neg59_4,rayleigh_style,-59.4,scenarios/final_trial_500.csv,runs/final_500_all/raw/dga/rayleigh_style_sens_neg59_4,dga_rayleigh_style_sens_neg59_4,500,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DGA:DGAAllocator"", ""--algorithm-name"", ""DGA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_rayleigh_style_sens_neg59_4"", ""--seed"", ""0"", ""--out-dir"", ""runs/final_500_all/raw/dga/rayleigh_style_sens_neg59_4"", ""--no-parquet"", ""--scenario-file"", ""scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""rayleigh_style"", ""--comm-level"", ""-59.4""]"
